zip5,perc_unemp,perc_never_married,med_inc,perc_some_coll
02457,7.41,96.95,250001,100
02458,5.23,33.22,89238,82.51
02459,2.96,26.31,129318,90.36
02460,5.13,23.03,100551,83.97
02461,8.16,20.68,127656,90.66
02462,1.89,20.84,80900,78.79
02464,2.5,38.13,83780,83.12
02465,6.78,23.63,128672,81.73
02466,5.89,39.3,107560,83.23
02467,5.03,52.66,113952,90.09
02468,3.43,21.61,197660,91.85
02472,6.67,38.57,83355,73.62
02474,5.33,34.66,85066,77.22
02476,6.01,28.4,89644,81.99
02478,4.9,26.62,105731,86.1
02481,6.13,33.71,177440,91.78
02482,5.37,28.02,130480,88.5
02492,4.31,22.95,133925,89.9
02493,5.87,26.03,176875,88.51
02494,8.21,24.71,105762,83.17
02532,8.43,32.33,59044,65.25
02534,0,20.81,64787,72.43
02535,10.45,27.73,62768,77.8
02536,9,25.36,59306,62.58
02537,9.45,18.65,83801,78.44
02538,16.5,38.52,51591,49.39
02539,5.55,35.43,63378,58.08
02540,7.67,21.99,57721,74.32
02542,7.63,31.89,41875,58.11
02543,9.52,29.76,79583,91.84
02553,6.78,32.34,88077,89.03
02554,3.19,32.95,84452,69.17
02556,8.14,16.34,78984,86.43
02557,3.94,23.91,76389,65.96
02558,0,40.85,48327,41.24
02559,6,28.14,63415,72.2
02561,3.48,44.96,72981,86.88
02562,9.3,21.97,57417,61.46
02563,4.84,24.38,79429,72.3
02564,1.81,31.37,49821,87.55
02568,6.03,38.01,56477,73.65
02571,12.99,28.84,54345,57.25
02575,0.9,28.5,70646,76.71
02576,11.82,27.57,76884,52.04
02584,"","","",""
02601,10.01,37.56,39876,57.33
02630,1.88,24.43,58524,79.25
02631,6.97,24.6,63610,74.17
02632,6,21.96,67190,70.39
02633,6.82,19.39,67500,78.8
02635,8.45,19.45,80833,79.57
02637,0,15.94,26029,44.83
02638,10.12,14.1,55855,74.61
02639,11.43,31.02,44880,60.86
02641,5.49,6.29,84783,92.03
02642,8.66,21.17,57409,73.95
02643,0,52.94,17361,100
02644,4.92,23.74,89269,77.29
02645,8.3,23.83,60792,65.25
02646,14.44,22.32,65553,80.21
02647,0,23.42,118542,90.09
02648,6.7,21.95,69576,71.68
02649,5.7,23.34,62547,67.68
02650,10.83,20.82,65577,75.88
02651,"",0,"",100
